order_id,order_date,customer_id,segment,region,category,product,quantity,unit_price,discount,shipping_cost,revenue,cost,profit
ORD-000001,2024-12-04,CUST-01819,Consumer,Northeast,Home & Kitchen,Desk Lamp,2,80.94,0.089,21.4,147.52,99.52,26.6
ORD-000002,2025-03-29,CUST-02366,Corporate,South,Electronics,USB-C Hub,2,178.34,0.093,3.86,323.38,279.01,40.51
ORD-000003,2024-12-16,CUST-00704,Small Business,Midwest,Electronics,Laptop Stand,2,142.55,0.062,15.21,267.52,205.18,47.13
ORD-000004,2024-11-20,CUST-01727,Consumer,South,Office Supplies,Pen Set,2,20.37,0.0,11.54,40.74,32.82,-3.62
ORD-000005,2024-09-12,CUST-01069,Consumer,West,Beauty,Hair Dryer,3,81.05,0.045,16.41,232.3,185.22,30.67
ORD-000006,2024-05-13,CUST-01098,Corporate,Northeast,Beauty,Face Serum,2,87.28,0.062,9.91,163.77,114.28,39.58
ORD-000007,2024-06-02,CUST-00306,Consumer,West,Office Supplies,Stapler,2,20.83,0.002,18.63,41.6,29.95,-6.98
ORD-000008,2025-02-11,CUST-02207,Corporate,Northeast,Electronics,USB-C Hub,4,91.75,0.105,14.61,328.55,242.17,71.77
ORD-000009,2024-02-08,CUST-01378,Small Business,Northeast,Electronics,Wireless Headphones,1,355.35,0.116,4.86,314.13,207.74,101.53
ORD-000010,2024-02-16,CUST-02927,Corporate,Midwest,Beauty,Face Serum,2,18.12,0.155,19.39,30.64,24.81,-13.56
ORD-000011,2024-08-04,CUST-01756,Consumer,West,Office Supplies,Pen Set,1,40.86,0.055,10.36,38.63,33.2,-4.93
ORD-000012,2025-02-27,CUST-00577,Small Business,South,Beauty,Skincare Set,1,63.43,0.0,19.7,63.43,48.93,-5.2
ORD-000013,2024-12-25,CUST-02159,Consumer,South,Electronics,Smart Watch,2,323.99,0.08,17.67,595.92,377.05,201.2
ORD-000014,2024-11-18,CUST-00149,Consumer,South,Home & Kitchen,Storage Set,1,146.38,0.025,23.67,142.73,97.37,21.69
ORD-000015,2024-10-19,CUST-02241,Consumer,Northeast,Sports,Yoga Mat,1,204.02,0.098,19.23,183.94,151.98,12.73
ORD-000016,2024-03-01,CUST-01132,Consumer,West,Electronics,USB-C Hub,3,148.63,0.152,7.51,378.08,331.22,39.35
ORD-000017,2024-06-30,CUST-00118,Corporate,West,Electronics,Smart Watch,1,50.95,0.068,8.86,47.48,32.53,6.09
ORD-000018,2024-02-13,CUST-01551,Consumer,Midwest,Office Supplies,Stapler,2,42.01,0.096,22.98,75.97,56.85,-3.86
ORD-000019,2025-02-18,CUST-01444,Consumer,South,Office Supplies,Desk Organizer,1,29.89,0.0,8.4,29.89,22.62,-1.13
ORD-000020,2025-02-14,CUST-00736,Corporate,Midwest,Sports,Running Shoes,5,106.04,0.077,15.26,489.55,428.5,45.79
ORD-000021,2024-05-21,CUST-00321,Small Business,Midwest,Sports,Sports Bag,1,187.36,0.196,18.03,150.59,123.22,9.34
